thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
0.051462;0.050641;0.049831;0.048962;0.048034;0.046676;0.025091;0.013714;
0.082197;0.080980;0.079482;0.077663;0.075052;0.056367;0.024749;0.021917;
0.082946;0.081553;0.080078;0.078522;0.076491;0.065521;0.025527;0.020684;
0.084238;0.083086;0.081934;0.080690;0.078991;0.073063;0.028698;0.015534;
0.084238;0.083086;0.081934;0.080690;0.078991;0.073063;0.028698;0.015534;
0.073698;0.071038;0.068122;0.064557;0.060163;0.055146;0.025378;0.009128;
0.051553;0.049600;0.047692;0.045944;0.044460;0.043053;0.034681;0.009779;
0.051553;0.049600;0.047692;0.045944;0.044460;0.043053;0.034681;0.009779;
0.059404;0.058109;0.056670;0.054938;0.052874;0.050488;0.044938;0.013363;
0.059404;0.058109;0.056670;0.054938;0.052874;0.050488;0.044938;0.013363;
0.067513;0.066449;0.065381;0.064277;0.062985;0.061374;0.057321;0.018945;
0.067513;0.066449;0.065381;0.064277;0.062985;0.061374;0.057321;0.018945;
0.069518;0.068405;0.067347;0.066208;0.064886;0.063171;0.053428;0.014424;
0.068109;0.067041;0.066055;0.064932;0.063630;0.062021;0.050986;0.012327;
0.068109;0.067041;0.066055;0.064932;0.063630;0.062021;0.050986;0.012327;
0.065127;0.064157;0.063223;0.062178;0.060934;0.059215;0.042666;0.008678;
0.060107;0.059294;0.058512;0.057676;0.056826;0.055859;0.041104;0.008408;
0.060107;0.059294;0.058512;0.057676;0.056826;0.055859;0.041104;0.008408;
0.059124;0.058210;0.057373;0.056582;0.055540;0.054268;0.032894;0.006393;
0.057393;0.056624;0.055781;0.054899;0.053864;0.052578;0.031104;0.005615;
0.057393;0.056624;0.055781;0.054899;0.053864;0.052578;0.031104;0.005615;
0.057640;0.056637;0.055485;0.053883;0.051364;0.048154;0.024609;0.004834;
0.043574;0.042715;0.041891;0.041016;0.040133;0.038955;0.019749;0.003158;
0.043574;0.042715;0.041891;0.041016;0.040133;0.038955;0.019749;0.003158;
0.044889;0.044115;0.043333;0.042536;0.041637;0.040469;0.020508;0.003333;
0.044889;0.044115;0.043333;0.042536;0.041637;0.040469;0.020508;0.003333;
0.050540;0.049710;0.048880;0.048024;0.046953;0.045433;0.022227;0.003594;
0.050540;0.049710;0.048880;0.048024;0.046953;0.045433;0.022227;0.003594;
0.054798;0.053988;0.053171;0.052357;0.051354;0.049961;0.028737;0.003577;
0.054798;0.053988;0.053171;0.052357;0.051354;0.049961;0.028737;0.003577;
0.057744;0.056911;0.056051;0.055179;0.054251;0.052988;0.030993;0.004792;
0.058369;0.057581;0.056803;0.056081;0.055166;0.053955;0.031257;0.006035;
0.058369;0.057581;0.056803;0.056081;0.055166;0.053955;0.031257;0.006035;
0.053112;0.052301;0.051462;0.050635;0.049613;0.048408;0.028096;0.004779;
0.051680;0.050895;0.050176;0.049349;0.048561;0.047474;0.032559;0.004671;
0.051680;0.050895;0.050176;0.049349;0.048561;0.047474;0.032559;0.004671;
0.050745;0.049980;0.049281;0.048496;0.047708;0.046706;0.033324;0.005241;
0.050745;0.049980;0.049281;0.048496;0.047708;0.046706;0.033324;0.005241;
0.054912;0.053984;0.053118;0.052122;0.050941;0.049277;0.029521;0.005020;
0.054912;0.053984;0.053118;0.052122;0.050941;0.049277;0.029521;0.005020;
0.058031;0.057181;0.056413;0.055511;0.054616;0.053249;0.029616;0.004508;
0.056960;0.056120;0.055277;0.054453;0.053535;0.052253;0.028672;0.004235;
0.056960;0.056120;0.055277;0.054453;0.053535;0.052253;0.028672;0.004235;
0.054202;0.053480;0.052702;0.051882;0.050970;0.049945;0.027588;0.004128;
0.054202;0.053480;0.052702;0.051882;0.050970;0.049945;0.027588;0.004128;
0.052572;0.051738;0.050973;0.050163;0.049313;0.048203;0.022858;0.003893;
0.050921;0.050068;0.049307;0.048561;0.047712;0.046608;0.022109;0.003890;
0.050921;0.050068;0.049307;0.048561;0.047712;0.046608;0.022109;0.003890;
0.050996;0.050146;0.049355;0.048503;0.047549;0.046348;0.024033;0.003574;
0.052874;0.052005;0.051250;0.050465;0.049645;0.048545;0.024264;0.003493;
0.052874;0.052005;0.051250;0.050465;0.049645;0.048545;0.024264;0.003493;
0.054001;0.053200;0.052454;0.051663;0.050827;0.049801;0.028265;0.003783;
0.055085;0.054238;0.053555;0.052721;0.051846;0.050801;0.028796;0.003919;
0.055085;0.054238;0.053555;0.052721;0.051846;0.050801;0.028796;0.003919;
0.055394;0.054622;0.053831;0.053027;0.052116;0.051022;0.025531;0.003590;
0.055394;0.054622;0.053831;0.053027;0.052116;0.051022;0.025531;0.003590;
0.054948;0.053968;0.053177;0.052432;0.051598;0.050537;0.025615;0.003848;
0.054948;0.053968;0.053177;0.052432;0.051598;0.050537;0.025615;0.003848;
0.054736;0.053942;0.053167;0.052386;0.051523;0.050465;0.026374;0.004033;
0.054736;0.053942;0.053167;0.052386;0.051523;0.050465;0.026374;0.004033;
0.054284;0.053486;0.052744;0.051937;0.051172;0.050078;0.026100;0.003701;
0.054284;0.053486;0.052744;0.051937;0.051172;0.050078;0.026100;0.003701;
0.056523;0.055732;0.054928;0.054105;0.053096;0.051875;0.026995;0.004033;
0.058675;0.057884;0.057116;0.056292;0.055423;0.054395;0.027464;0.004196;
0.058675;0.057884;0.057116;0.056292;0.055423;0.054395;0.027464;0.004196;
0.057640;0.056816;0.056061;0.055293;0.054411;0.053353;0.031745;0.003949;
0.077161;0.057640;0.055394;0.054557;0.053691;0.052686;0.041738;0.004372;
0.077161;0.057640;0.055394;0.054557;0.053691;0.052686;0.041738;0.004372;
0.055192;0.054323;0.053532;0.052738;0.051924;0.050879;0.029932;0.003802;
0.055192;0.054323;0.053532;0.052738;0.051924;0.050879;0.029932;0.003802;
0.055736;0.054834;0.053975;0.053053;0.052145;0.051068;0.029805;0.003558;
0.055736;0.054834;0.053975;0.053053;0.052145;0.051068;0.029805;0.003558;
0.058135;0.057266;0.056452;0.055531;0.054508;0.053327;0.031367;0.003900;
0.058135;0.057266;0.056452;0.055531;0.054508;0.053327;0.031367;0.003900;
0.059242;0.058369;0.057510;0.056667;0.055736;0.054561;0.027308;0.003792;
0.059242;0.058369;0.057510;0.056667;0.055736;0.054561;0.027308;0.003792;
0.059430;0.058571;0.057686;0.056816;0.055807;0.054528;0.028148;0.003838;
0.059430;0.058571;0.057686;0.056816;0.055807;0.054528;0.028148;0.003838;
0.058639;0.057777;0.056960;0.056097;0.055117;0.053851;0.026895;0.003584;
0.058639;0.057777;0.056960;0.056097;0.055117;0.053851;0.026895;0.003584;
0.058685;0.057412;0.056530;0.055651;0.054749;0.053636;0.026361;0.003477;
0.057637;0.056774;0.055915;0.055023;0.054098;0.052952;0.028210;0.003333;
0.057637;0.056774;0.055915;0.055023;0.054098;0.052952;0.028210;0.003333;
0.058564;0.057715;0.056908;0.056104;0.055182;0.054014;0.028278;0.003597;
0.058564;0.057715;0.056908;0.056104;0.055182;0.054014;0.028278;0.003597;
0.058294;0.057458;0.056605;0.055788;0.054867;0.053737;0.026566;0.003402;
0.058294;0.057458;0.056605;0.055788;0.054867;0.053737;0.026566;0.003402;
0.058245;0.057451;0.056644;0.055820;0.054873;0.053727;0.025326;0.003411;
0.058245;0.057451;0.056644;0.055820;0.054873;0.053727;0.025326;0.003411;
0.058021;0.057165;0.056374;0.055573;0.054613;0.053483;0.025042;0.003389;
0.058021;0.057165;0.056374;0.055573;0.054613;0.053483;0.025042;0.003389;
0.058477;0.057370;0.056468;0.055534;0.054365;0.052588;0.025850;0.003594;
0.058477;0.057370;0.056468;0.055534;0.054365;0.052588;0.025850;0.003594;
0.057106;0.056058;0.054997;0.053939;0.052799;0.051462;0.024883;0.003584;
0.058659;0.057728;0.056745;0.055902;0.054932;0.053802;0.024521;0.003118;
0.058659;0.057728;0.056745;0.055902;0.054932;0.053802;0.024521;0.003118;
0.057529;0.056543;0.055618;0.054590;0.053665;0.052523;0.025238;0.002419;
0.057529;0.056543;0.055618;0.054590;0.053665;0.052523;0.025238;0.002419;
0.058389;0.057399;0.056445;0.055449;0.054453;0.053340;0.026296;0.003044;
0.058389;0.057399;0.056445;0.055449;0.054453;0.053340;0.026296;0.003044;
0.057747;0.056781;0.055791;0.054759;0.053812;0.052591;0.025531;0.002962;
0.058346;0.057344;0.056406;0.055404;0.054398;0.053268;0.024150;0.002858;
0.058346;0.057344;0.056406;0.055404;0.054398;0.053268;0.024150;0.002858;
0.059619;0.058620;0.057624;0.056699;0.055745;0.054489;0.029095;0.003011;
0.059619;0.058620;0.057624;0.056699;0.055745;0.054489;0.029095;0.003011;
0.060133;0.059186;0.058213;0.057279;0.056338;0.055146;0.030052;0.003210;
0.060133;0.059186;0.058213;0.057279;0.056338;0.055146;0.030052;0.003210;
0.060055;0.059098;0.058125;0.057194;0.056286;0.055068;0.029652;0.003099;
0.060055;0.059098;0.058125;0.057194;0.056286;0.055068;0.029652;0.003099;
0.080068;0.064421;0.057480;0.056341;0.055319;0.054124;0.029805;0.002930;
0.080068;0.064421;0.057480;0.056341;0.055319;0.054124;0.029805;0.002930;
0.059971;0.058695;0.057650;0.056533;0.055518;0.054349;0.026966;0.003135;
0.059971;0.058695;0.057650;0.056533;0.055518;0.054349;0.026966;0.003135;
0.059053;0.058076;0.057038;0.056012;0.055036;0.053822;0.026885;0.002826;
0.059977;0.058981;0.057907;0.056895;0.055918;0.054766;0.027445;0.002790;
0.059977;0.058981;0.057907;0.056895;0.055918;0.054766;0.027445;0.002790;
0.061641;0.060550;0.059551;0.058503;0.057467;0.056270;0.027275;0.003239;
0.062295;0.061094;0.059974;0.058965;0.057865;0.056582;0.022773;0.003044;
0.062295;0.061094;0.059974;0.058965;0.057865;0.056582;0.022773;0.003044;
0.062555;0.061436;0.060446;0.059349;0.058327;0.057002;0.023210;0.003086;
0.062555;0.061436;0.060446;0.059349;0.058327;0.057002;0.023210;0.003086;
0.062555;0.061396;0.060296;0.059316;0.058268;0.056862;0.022471;0.003083;
0.062555;0.061396;0.060296;0.059316;0.058268;0.056862;0.022471;0.003083;
0.061455;0.060400;0.059382;0.058359;0.057340;0.056048;0.021771;0.002777;
0.061455;0.060400;0.059382;0.058359;0.057340;0.056048;0.021771;0.002777;
0.061839;0.060824;0.059720;0.058724;0.057611;0.056380;0.027581;0.003226;
0.061839;0.060824;0.059720;0.058724;0.057611;0.056380;0.027581;0.003226;
0.064072;0.062933;0.061911;0.060830;0.059821;0.058408;0.027451;0.003532;
0.064072;0.062933;0.061911;0.060830;0.059821;0.058408;0.027451;0.003532;
0.063968;0.062829;0.061787;0.060791;0.059779;0.058577;0.032061;0.003444;
0.063968;0.062829;0.061787;0.060791;0.059779;0.058577;0.032061;0.003444;
0.064860;0.063848;0.062829;0.061787;0.060798;0.059567;0.033688;0.003763;
0.064860;0.063848;0.062829;0.061787;0.060798;0.059567;0.033688;0.003763;
0.063770;0.062539;0.061569;0.060560;0.059453;0.058145;0.027731;0.003525;
0.063770;0.062539;0.061569;0.060560;0.059453;0.058145;0.027731;0.003525;
0.062295;0.061185;0.060189;0.059183;0.058115;0.056904;0.027181;0.003226;
0.062295;0.061185;0.060189;0.059183;0.058115;0.056904;0.027181;0.003226;
0.062051;0.061025;0.060029;0.058991;0.058005;0.056914;0.032002;0.003353;
0.062051;0.061025;0.060029;0.058991;0.058005;0.056914;0.032002;0.003353;
0.062435;0.061061;0.059915;0.058910;0.057920;0.056729;0.031797;0.003480;
0.063141;0.061842;0.060817;0.059785;0.058750;0.057562;0.032288;0.003438;
0.063141;0.061842;0.060817;0.059785;0.058750;0.057562;0.032288;0.003438;
0.064193;0.062858;0.061839;0.060811;0.059779;0.058542;0.031995;0.003548;
0.064193;0.062858;0.061839;0.060811;0.059779;0.058542;0.031995;0.003548;
0.063975;0.062773;0.061641;0.060602;0.059535;0.058229;0.028063;0.003818;
0.062422;0.061058;0.059938;0.058883;0.057861;0.056624;0.027552;0.003154;
0.062422;0.061058;0.059938;0.058883;0.057861;0.056624;0.027552;0.003154;
0.060859;0.059648;0.058486;0.057484;0.056445;0.055127;0.026764;0.003239;
0.060859;0.059648;0.058486;0.057484;0.056445;0.055127;0.026764;0.003239;
0.060345;0.059098;0.057979;0.056940;0.055941;0.054801;0.026937;0.003587;
0.060345;0.059098;0.057979;0.056940;0.055941;0.054801;0.026937;0.003587;
0.062520;0.060931;0.059769;0.058564;0.057402;0.056035;0.031309;0.003467;
0.062520;0.060931;0.059769;0.058564;0.057402;0.056035;0.031309;0.003467;
0.076442;0.063991;0.062692;0.061432;0.060410;0.059118;0.035472;0.003890;
0.076442;0.063991;0.062692;0.061432;0.060410;0.059118;0.035472;0.003890;
0.064902;0.063594;0.062428;0.061357;0.060352;0.059059;0.027956;0.003805;
0.064902;0.063594;0.062428;0.061357;0.060352;0.059059;0.027956;0.003805;
0.064834;0.063558;0.062409;0.061413;0.060371;0.059062;0.028551;0.004150;
0.064834;0.063558;0.062409;0.061413;0.060371;0.059062;0.028551;0.004150;
0.064352;0.062969;0.061878;0.060820;0.059814;0.058613;0.030081;0.003796;
0.064352;0.062969;0.061878;0.060820;0.059814;0.058613;0.030081;0.003796;
0.064808;0.063480;0.062214;0.061133;0.060094;0.058825;0.030752;0.003939;
