thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240
0,427103;0,173324;0,000521;0;0;0;0;0
0,900749;0,765648;0,649593;0,450693;0,315107;0,154372;0;0
0,903008;0,759408;0,615257;0,405781;0,268512;0,116868;0;0
0,902096;0,760231;0,636191;0,419251;0,276846;0,116787;0;0
0,901943;0,761895;0,644437;0,455918;0,328008;0,166436;0,00001;0
0,896787;0,760794;0,648158;0,465615;0,335876;0,176423;0;0
0,898027;0,763151;0,641683;0,440885;0,308132;0,150944;0;0
0,895003;0,762982;0,648652;0,454701;0,320244;0,154056;0;0
0,896833;0,759971;0,639398;0,453288;0,315924;0,148991;0;0
0,90998;0,765996;0,644395;0,449515;0,312171;0,144958;0,000013;0
0,897243;0,758883;0,640088;0,454036;0,310671;0,140111;0;0
0,895814;0,760944;0,63612;0,451003;0,311657;0,139463;0;0
0,895596;0,76193;0,649287;0,451217;0,310586;0,140641;0;0
0,895146;0,761637;0,652158;0,453109;0,314827;0,143265;0;0
0,894678;0,761051;0,658864;0,472965;0,320775;0,145817;0;0
0,896745;0,771878;0,653564;0,467174;0,316852;0,147161;0;0
0,895713;0,763141;0,654408;0,460303;0,321657;0,145788;0;0
0,897536;0,767425;0,65835;0,476966;0,325898;0,153337;0;0
0,893369;0,762718;0,660615;0,480189;0,317389;0,148844;0;0
0,895498;0,762109;0,650726;0,467253;0,316937;0,147041;0;0
0,89902;0,769245;0,650921;0,458952;0,312357;0,145329;0,000013;0
0,897415;0,761465;0,653128;0,456924;0,314489;0,143506;0;0
0,898249;0,767699;0,658848;0,4693;0,317093;0,1479;0;0
0,900664;0,765413;0,659355;0,474056;0,313014;0,146973;0;0
0,904756;0,765736;0,660811;0,466924;0,3036;0,135706;0;0
0,904961;0,768662;0,647523;0,457035;0,301188;0,131377;0;0
0,905697;0,771445;0,658838;0,472048;0,301276;0,127653;0;0
0,908363;0,785658;0,666689;0,465967;0,307972;0,135915;0;0
0,904847;0,769229;0,658532;0,486243;0,316029;0,138477;0,000251;0
0,90473;0,764788;0,667217;0,497939;0,317197;0,131025;0;0
0,896725;0,766989;0,665579;0,546914;0,345228;0,136563;0,000003;0
0,893327;0,757738;0,669297;0,52445;0,348395;0,143398;0,000081;0
0,897327;0,775088;0,669023;0,505111;0,323857;0,127262;0,000055;0
0,895267;0,760169;0,663887;0,498265;0,313145;0,120511;0;0
0,890316;0,76085;0,664434;0,487633;0,31252;0,138623;0;0
0,888874;0,757516;0,660166;0,500374;0,309821;0,13765;0,000003;0
0,886286;0,753314;0,662663;0,48432;0,305911;0,135199;0;0
0,88391;0,751956;0,658551;0,477308;0,307008;0,137207;0;0
0,88526;0,752139;0,658695;0,492383;0,31264;0,150986;0;0
0,895133;0,758714;0,665241;0,476165;0,314681;0,142809;0,000023;0
0,889557;0,764046;0,658441;0,490404;0,308294;0,139001;0;0
0,893044;0,767376;0,666227;0,474967;0,30958;0,134941;0;0
0,893187;0,766315;0,670365;0,480583;0,305498;0,135518;0,00002;0
0,888418;0,757868;0,649889;0,468454;0,301286;0,132926;0,000029;0
0,891383;0,758978;0,651865;0,4625;0,303665;0,136338;0;0
0,895524;0,76082;0,654727;0,472624;0,301263;0,136624;0,000013;0
0,889948;0,763014;0,648747;0,450143;0,300641;0,133271;0;0
0,898216;0,762607;0,656908;0,467155;0,306198;0,131243;0,000003;0
0,891781;0,757962;0,654854;0,474736;0,308437;0,134368;0;0
0,892087;0,759531;0,667181;0,494014;0,310055;0,136383;0,000016;0
0,891686;0,755;0,665837;0,494102;0,314574;0,141865;0,000007;0
0,889528;0,762562;0,668561;0,51584;0,324414;0,142676;0,000059;0
0,886722;0,752549;0,650824;0,49598;0,325863;0,146455;0,00002;0
0,886139;0,756686;0,646416;0,478236;0,325547;0,141191;0,000075;0
0,891862;0,762041;0,667422;0,481012;0,315602;0,136634;0,000026;0
0,885713;0,757432;0,666113;0,484209;0,317764;0,138437;0;0
0,888193;0,758294;0,667168;0,490173;0,305719;0,137682;0;0
0,886429;0,7536;0,664775;0,469854;0,31154;0,137741;0;0
0,885752;0,754167;0,656012;0,467705;0,304294;0,136491;0;0
0,887643;0,761715;0,653763;0,455602;0,305439;0,137826;0;0
0,885706;0,755742;0,653763;0,462946;0,310283;0,139434;0;0
0,888604;0,755723;0,652311;0,461895;0,302585;0,139385;0;0
0,902285;0,758223;0,666393;0,46318;0,3025;0,135811;0,000075;0
0,891592;0,762718;0,650143;0,454557;0,304626;0,136383;0;0
0,892233;0,757152;0,648802;0,441234;0,297946;0,132692;0;0
0,911318;0,758226;0,648675;0,454951;0,301309;0,136146;0,000007;0
0,896966;0,759606;0,659482;0,461416;0,307415;0,138971;0;0
0,897562;0,763678;0,664661;0,466191;0,309632;0,139697;0;0
0,897357;0,77165;0,653971;0,458376;0,305443;0,137598;0;0
0,896745;0,769176;0,659427;0,458073;0,297035;0,13277;0;0
0,898128;0,763652;0,65693;0,460798;0,295713;0,127598;0;0
0,89514;0,767188;0,667988;0,472874;0,306201;0,133473;0,000007;0
0,89472;0,765391;0,657702;0,470573;0,314694;0,142975;0;0
0,895612;0,766351;0,656647;0,461667;0,308656;0,140417;0,000013;0
0,900371;0,7639;0,66026;0,455915;0,309072;0,145277;0,00002;0
0,897367;0,762852;0,664658;0,468389;0,314408;0,143805;0;0
0,899893;0,771986;0,662493;0,482965;0,316084;0,14208;0,000013;0
0,900299;0,76821;0,654346;0,458395;0,31098;0,137858;0;0
0,897793;0,765635;0,652171;0,458968;0,305459;0,135872;0;0
0,899408;0,771175;0,658997;0,461901;0,306829;0,137624;0;0
0,898711;0,765788;0,654147;0,456927;0,308613;0,138483;0,000026;0
0,897988;0,767992;0,646865;0,446895;0,304915;0,137549;0;0
0,89651;0,765195;0,65165;0,447731;0,304997;0,136794;0,000072;0
0,894173;0,779469;0,640592;0,449014;0,303662;0,137591;0;0
0,895498;0,76582;0,650299;0,451553;0,307871;0,138503;0,00001;0
0,898639;0,763711;0,639001;0,441914;0,299788;0,137311;0;0
0,897783;0,771543;0,642721;0,437673;0,296865;0,133428;0;0
0,894508;0,761423;0,646543;0,447572;0,296976;0,131813;0;0
0,894033;0,75986;0,652279;0,456051;0,298835;0,134242;0;0
0,900339;0,756621;0,647598;0,445264;0,303389;0,139658;0;0
0,894382;0,759144;0,642809;0,446738;0,296133;0,135007;0;0
0,891885;0,75487;0,639401;0,436442;0,290635;0,131556;0;0
0,898089;0,755853;0,642367;0,435931;0,295231;0,136556;0;0
0,891722;0,757585;0,636787;0,432246;0,29736;0,135846;0;0
0,890537;0,754062;0,639033;0,43068;0,289749;0,135719;0;0
0,890456;0,754684;0,638535;0,430303;0,290036;0,135801;0;0
0,889863;0,749639;0,644033;0,433252;0,290563;0,135794;0;0
0,889189;0,749977;0,639535;0,431527;0,292288;0,137074;0;0
0,88891;0,749596;0,641494;0,433099;0,293314;0,138102;0;0
0,887868;0,748213;0,640293;0,432962;0,293763;0,139167;0,00002;0
0,884984;0,746475;0,641436;0,432946;0,289652;0,137161;0;0
0,883564;0,742093;0,638493;0,431729;0,284163;0,133385;0;0
0,881787;0,740039;0,638304;0,427624;0,282871;0,13124;0;0
0,880192;0,745632;0,640596;0,429619;0,282865;0,13459;0;0
0,881774;0,747464;0,644424;0,460706;0,288066;0,129987;0;0
0,886104;0,750247;0,647415;0,471947;0,308408;0,13498;0,000062;0
0,889046;0,752679;0,639945;0,477526;0,315771;0,139479;0;0
0,890273;0,753675;0,65708;0,46667;0,313649;0,135889;0;0
0,890791;0,756859;0,659238;0,47221;0,308018;0,135964;0;0
0,897161;0,756592;0,66096;0,469017;0,309912;0,136787;0;0
0,89446;0,757471;0,662712;0,484258;0,311107;0,134141;0;0
0,89959;0,759577;0,654906;0,4671;0,306943;0,131032;0;0
0,895771;0,769883;0,670173;0,478372;0,305391;0,132861;0,000007;0
