thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.998836;0.978085;0.896590;0.800286;0.649814;0.256226;0.100446;0.036094;0.009119;0.004592;0.002796;0.002796;
0.999890;0.975281;0.890622;0.807764;0.679589;0.317318;0.163639;0.087663;0.052513;0.033872;0.015850;0.004775;
0.999725;0.982223;0.908179;0.816450;0.656011;0.264264;0.113239;0.041753;0.013351;0.008739;0.004501;0.002796;
0.999997;0.996136;0.910881;0.804782;0.651506;0.243618;0.093509;0.029666;0.004567;0.003473;0.003034;0.002924;
0.999957;0.988027;0.890146;0.795186;0.653222;0.262025;0.098768;0.032891;0.004682;0.003125;0.002794;0.002794;
0.999120;0.966445;0.877688;0.793983;0.651558;0.262049;0.103931;0.037684;0.007090;0.003200;0.002794;0.002794;
0.998571;0.972227;0.883931;0.813416;0.669872;0.286811;0.124097;0.043586;0.011029;0.006074;0.002893;0.002794;
0.999990;0.991437;0.898434;0.813207;0.666086;0.299648;0.157689;0.074234;0.026807;0.012269;0.005408;0.002803;
0.999838;0.974439;0.884359;0.816859;0.661770;0.288702;0.137229;0.059595;0.023046;0.012198;0.006082;0.003313;
0.999855;0.978708;0.880430;0.803424;0.637846;0.261727;0.110628;0.039988;0.013663;0.006505;0.003032;0.002923;
0.999861;0.979301;0.881092;0.811992;0.670443;0.306898;0.144622;0.067584;0.028975;0.013124;0.004122;0.002796;
0.999918;0.968336;0.879661;0.804834;0.649862;0.269249;0.109120;0.041966;0.011241;0.004982;0.002942;0.002796;
0.999246;0.964723;0.868172;0.800598;0.662155;0.324208;0.163735;0.083547;0.039961;0.020770;0.007923;0.003311;
0.998810;0.975407;0.879097;0.793686;0.641063;0.273162;0.116722;0.036555;0.004798;0.003113;0.002796;0.002796;
0.999529;0.979387;0.889933;0.803989;0.684513;0.332090;0.177449;0.101803;0.051255;0.023309;0.012913;0.003345;
0.999911;0.979860;0.880371;0.803035;0.636734;0.248811;0.103943;0.043081;0.012011;0.004183;0.002875;0.002805;
0.999989;0.994671;0.918656;0.830151;0.670955;0.274148;0.117834;0.048839;0.014490;0.008493;0.004778;0.002977;
0.999976;0.987229;0.896491;0.811551;0.659876;0.275870;0.129294;0.055605;0.026251;0.014178;0.006696;0.004999;
0.999988;0.989714;0.916305;0.840547;0.682015;0.321590;0.170714;0.096998;0.053073;0.025075;0.007058;0.002973;
0.999359;0.970400;0.898041;0.826667;0.661402;0.286277;0.124045;0.042550;0.007556;0.003171;0.002815;0.002815;
0.997444;0.924586;0.832909;0.771554;0.661519;0.323192;0.152760;0.067040;0.027295;0.016637;0.010025;0.006195;
0.993264;0.959288;0.872828;0.793409;0.641480;0.289936;0.123135;0.042614;0.004710;0.003186;0.002815;0.002815;
0.999997;0.990609;0.883600;0.798695;0.649449;0.280642;0.132650;0.054525;0.018406;0.011864;0.006323;0.002937;
0.999950;0.986324;0.891272;0.809670;0.670693;0.285000;0.132464;0.058377;0.021223;0.010751;0.005628;0.003507;
0.999594;0.986482;0.894355;0.801461;0.664414;0.278082;0.122631;0.049985;0.018822;0.008995;0.003408;0.002805;
0.999969;0.984984;0.870605;0.785127;0.643111;0.255702;0.103899;0.035943;0.006104;0.003523;0.002805;0.002805;
