thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.998836;0.978085;0.896590;0.800286;0.649814;0.256226;0.100446;0.036094;0.009119;0.004592;
0.999890;0.975281;0.890622;0.807764;0.679589;0.317318;0.163639;0.087663;0.052513;0.033872;
0.999725;0.982223;0.908179;0.816450;0.656011;0.264264;0.113239;0.041753;0.013351;0.008739;
0.999997;0.996136;0.910881;0.804782;0.651506;0.243618;0.093509;0.029666;0.004567;0.003473;
0.999957;0.988027;0.890146;0.795186;0.653222;0.262025;0.098768;0.032891;0.004682;0.003125;
0.999120;0.966445;0.877688;0.793983;0.651558;0.262049;0.103931;0.037684;0.007090;0.003200;
0.998571;0.972227;0.883931;0.813416;0.669872;0.286811;0.124097;0.043586;0.011029;0.006074;
0.999990;0.991437;0.898434;0.813207;0.666086;0.299648;0.157689;0.074234;0.026807;0.012269;
0.999838;0.974439;0.884359;0.816859;0.661770;0.288702;0.137229;0.059595;0.023046;0.012198;
0.999855;0.978708;0.880430;0.803424;0.637846;0.261727;0.110628;0.039988;0.013663;0.006505;
0.999861;0.979301;0.881092;0.811992;0.670443;0.306898;0.144622;0.067584;0.028975;0.013124;
0.999918;0.968336;0.879661;0.804834;0.649862;0.269249;0.109120;0.041966;0.011241;0.004982;
0.999246;0.964723;0.868172;0.800598;0.662155;0.324208;0.163735;0.083547;0.039961;0.020770;
0.998810;0.975407;0.879097;0.793686;0.641063;0.273162;0.116722;0.036555;0.004798;0.003113;
0.999529;0.979387;0.889933;0.803989;0.684513;0.332090;0.177449;0.101803;0.051255;0.023309;
0.999911;0.979860;0.880371;0.803035;0.636734;0.248811;0.103943;0.043081;0.012011;0.004183;
0.999989;0.994671;0.918656;0.830151;0.670955;0.274148;0.117834;0.048839;0.014490;0.008493;
0.999976;0.987229;0.896491;0.811551;0.659876;0.275870;0.129294;0.055605;0.026251;0.014178;
0.999988;0.989714;0.916305;0.840547;0.682015;0.321590;0.170714;0.096998;0.053073;0.025075;
0.999359;0.970400;0.898041;0.826667;0.661402;0.286277;0.124045;0.042550;0.007556;0.003171;
0.997444;0.924586;0.832909;0.771554;0.661519;0.323192;0.152760;0.067040;0.027295;0.016637;
0.993264;0.959288;0.872828;0.793409;0.641480;0.289936;0.123135;0.042614;0.004710;0.003186;
0.999997;0.990609;0.883600;0.798695;0.649449;0.280642;0.132650;0.054525;0.018406;0.011864;
0.999950;0.986324;0.891272;0.809670;0.670693;0.285000;0.132464;0.058377;0.021223;0.010751;
0.999594;0.986482;0.894355;0.801461;0.664414;0.278082;0.122631;0.049985;0.018822;0.008995;
0.999969;0.984984;0.870605;0.785127;0.643111;0.255702;0.103899;0.035943;0.006104;0.003523;
0.998794;0.968089;0.879543;0.773526;0.645972;0.239571;0.093719;0.029995;0.003865;0.003089;
0.998850;0.963800;0.886361;0.792391;0.653532;0.261547;0.111658;0.042066;0.008020;0.004210;
0.999908;0.982179;0.874122;0.780756;0.644616;0.263196;0.102137;0.035903;0.006348;0.003120;
0.998875;0.949436;0.873737;0.786121;0.660362;0.265479;0.104628;0.030806;0.005292;0.003727;
0.999951;0.986131;0.881045;0.777933;0.649881;0.269754;0.111124;0.036569;0.007523;0.004003;
0.988303;0.967585;0.889000;0.803433;0.647393;0.289317;0.138876;0.063937;0.026413;0.015046;
0.999986;0.990785;0.900756;0.824222;0.673306;0.304239;0.143143;0.052471;0.015076;0.006088;
0.998342;0.957286;0.868745;0.795295;0.626176;0.258691;0.114511;0.038792;0.005697;0.003163;
0.999467;0.964413;0.878461;0.795924;0.645834;0.267954;0.115680;0.036525;0.006736;0.003749;
0.998184;0.979851;0.894775;0.802437;0.666733;0.291651;0.138487;0.071838;0.043481;0.031670;
0.999819;0.988007;0.924344;0.843462;0.677739;0.329898;0.174331;0.086519;0.046984;0.025973;
0.983011;0.937486;0.855752;0.783454;0.639520;0.295106;0.151787;0.075060;0.037147;0.020864;
0.995534;0.975595;0.875765;0.784616;0.627181;0.276426;0.119477;0.043288;0.014086;0.005290;
0.999973;0.992346;0.887533;0.784375;0.614833;0.227054;0.098896;0.033330;0.008120;0.004449;
0.999937;0.986836;0.872176;0.782923;0.605293;0.250565;0.116505;0.047466;0.018709;0.007151;
0.996951;0.975187;0.888087;0.808559;0.623063;0.260515;0.121875;0.049453;0.021671;0.015414;
0.999774;0.986487;0.909983;0.819331;0.637096;0.252268;0.109386;0.047249;0.015781;0.007615;
0.981513;0.952252;0.845557;0.776916;0.617977;0.260770;0.120827;0.049510;0.019013;0.008266;
0.999579;0.967472;0.877131;0.805883;0.621835;0.262156;0.121604;0.050095;0.017899;0.007580;
0.997484;0.969338;0.874252;0.808882;0.639157;0.289783;0.139978;0.056662;0.021112;0.009249;
0.999980;0.986559;0.887501;0.808320;0.644988;0.298141;0.151501;0.074300;0.034922;0.015229;
0.999698;0.990242;0.874384;0.791254;0.629367;0.277365;0.132753;0.062534;0.029455;0.015047;
0.999738;0.975931;0.876931;0.785379;0.601541;0.238190;0.088925;0.023460;0.004189;0.003302;
0.999561;0.982918;0.898340;0.808277;0.618239;0.229577;0.085968;0.023064;0.005559;0.003328;
0.999944;0.979174;0.874978;0.786047;0.616262;0.237732;0.098273;0.031993;0.007733;0.004140;
0.999643;0.980904;0.872045;0.792896;0.637090;0.265632;0.137410;0.082280;0.064020;0.053492;
0.997356;0.967747;0.867205;0.790088;0.628723;0.245396;0.104004;0.025437;0.005029;0.003104;
0.999774;0.985524;0.886298;0.791583;0.637123;0.246896;0.100923;0.030871;0.009073;0.005279;
0.996762;0.975097;0.891028;0.812223;0.643630;0.244210;0.108770;0.035910;0.008771;0.004574;
0.999878;0.980167;0.882872;0.789932;0.632183;0.255541;0.103954;0.034984;0.012129;0.006254;
0.999435;0.980531;0.887473;0.796252;0.655382;0.285455;0.135069;0.063908;0.032804;0.026345;
0.998597;0.964456;0.885731;0.789770;0.653250;0.272304;0.103473;0.029775;0.004092;0.003270;
0.999833;0.976543;0.878802;0.804005;0.665399;0.278465;0.113913;0.038387;0.007785;0.004840;
0.987097;0.963738;0.865154;0.800255;0.644348;0.299345;0.137824;0.060602;0.025375;0.015490;
0.994384;0.962046;0.858550;0.786130;0.642255;0.300613;0.135796;0.054340;0.022471;0.013588;
0.998114;0.966645;0.885918;0.805151;0.654359;0.269111;0.117441;0.047081;0.017555;0.007999;
0.999992;0.993587;0.894987;0.802134;0.665046;0.263507;0.108451;0.042204;0.010238;0.005317;
0.999991;0.992716;0.890503;0.795807;0.657410;0.255148;0.098641;0.029159;0.003405;0.003204;
0.999991;0.992652;0.895195;0.807486;0.664814;0.259608;0.105091;0.032146;0.004538;0.003215;
0.999933;0.994880;0.911810;0.807701;0.691136;0.318676;0.176622;0.093792;0.047635;0.024392;
1.000000;0.995076;0.904665;0.803239;0.658381;0.273831;0.118089;0.041355;0.007746;0.003306;
0.997109;0.987024;0.891579;0.805156;0.658976;0.298765;0.143570;0.061217;0.028946;0.019033;
0.999277;0.978274;0.885170;0.799013;0.663787;0.308216;0.157004;0.081425;0.050579;0.037405;
0.999513;0.977578;0.891387;0.804846;0.657801;0.279715;0.120398;0.043895;0.013012;0.005824;
0.999987;0.987088;0.887862;0.805821;0.637747;0.283608;0.125398;0.058875;0.029799;0.022829;
0.999911;0.981873;0.882635;0.797412;0.626542;0.238784;0.094623;0.026064;0.004111;0.003270;
0.998901;0.965113;0.865743;0.795611;0.628000;0.272414;0.127416;0.043401;0.012113;0.005284;
0.999881;0.982062;0.901567;0.814493;0.663339;0.305762;0.157394;0.084749;0.045080;0.029191;
0.978853;0.938104;0.872205;0.815350;0.651573;0.331876;0.187962;0.107195;0.058746;0.041111;
0.994212;0.969973;0.894319;0.818357;0.688024;0.316587;0.162351;0.080067;0.039549;0.020688;
0.999989;0.992985;0.909766;0.843481;0.700345;0.358980;0.211243;0.119881;0.066732;0.040673;
0.992574;0.940132;0.864605;0.806182;0.653496;0.337632;0.187713;0.108660;0.056077;0.026437;
